SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
KCEIL,SM,243.3,259.9,243.3,250.35,254.1,256.1,842500,207456625.00,03-Sep-2025,693,INE0RCG01017
KAYA,BE,411.2,414.95,408.1,410.05,414.9,411.55,622,255781.40,03-Sep-2025,41,INE587G01015
KAYNES,EQ,6573,6792,6573,6744,6755,6573,710942,4777829022.00,03-Sep-2025,85202,INE918Z01012
KAYTEX,SM,120,120,116.1,118,118,120.05,15200,1793520.00,03-Sep-2025,19,INE13ZD01013
KCK,SM,40.05,42.2,39.6,40.9,40.05,40.2,155000,6346125.00,03-Sep-2025,49,INE0J1E01027
KCP,EQ,204.8,208.99,204.72,206.52,205.12,204.22,119924,24791302.91,03-Sep-2025,3336,INE805C01028
KCPSUGIND,EQ,34.79,35,34.02,34.63,34.9,34.5,115933,4014065.90,03-Sep-2025,1212,INE790B01024
KDDL,EQ,2396.9,2436.9,2314.1,2326.1,2318,2387.4,28605,67623022.70,03-Sep-2025,6331,INE291D01011
KEC,EQ,864.65,868.8,844.6,847.75,849.15,862.05,320426,273231627.20,03-Sep-2025,18759,INE389H01022
KEI,EQ,3980,4026.7,3955.9,4021.4,4016,3963.3,243019,972060895.40,03-Sep-2025,26256,INE878B01027
KELLTONTEC,EQ,25.55,25.98,25.51,25.62,25.69,25.66,1042415,26765390.27,03-Sep-2025,4444,INE164B01030
KEN,SM,46,47.7,45.55,46.35,47.7,46,10800,501720.00,03-Sep-2025,9,INE15DO01012
KERNEX,BE,1130,1130,1080,1125.4,1130,1078.4,104111,116724803.40,03-Sep-2025,1827,INE202H01019
KESORAMIND,BE,5.2,5.44,5.05,5.3,5.33,5.23,437583,2321321.11,03-Sep-2025,899,INE087A01019
KKCL,EQ,516.4,522,512.05,520.25,517.1,513.7,13139,6815745.40,03-Sep-2025,1396,INE401H01017
